"time","x","y","z","low","high","mux1_GEn1","mux1_GEn2","mux1_GUn1","mux1_GUn2","comp_out","vin","zero","rlc_iL+","rlc_iL-","rlc_vC+","rlc_vC-","vCp","vCn","iLp","iLn","iCp","iCn","vLp","vLn","rlc_dummy+","rlc_dummy-","rlc_A+","rlc_A-"
8.02802802802803,8.9384322184263,0.0276966801196543,9.38329659561744e-07,4.1737542355446e-08,6.67880863391252,1.5694967463773e-39,2.64493851252564,0,0,4.03387016312443,10,0,-1659.12579245916,0,-1552.08541875208,53.5201868535196,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,26.7600934267598
8.03803803803804,8.93793684688473,0.0276717158828209,9.21739367166156e-07,4.09603699957708e-08,6.67880863391252,1.40462389447952e-39,2.64441815937978,0,0,4.03439051549312,10,0,-1661.19452786122,0,-1554.02068735402,53.5869202535863,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,26.7934601267932
8.04804804804805,8.93744194831135,0.027646848930557,9.05443254538052e-07,4.01978175229759e-08,6.67880863391252,1.25707506613706e-39,2.64389837679547,0,0,4.03491029731488,10,0,-1663.26326326329,0,-1555.95595595595,53.6536536536531,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,26.8268268268265
8.05805805805806,8.936947520898,0.0276220789552596,8.89436089577487e-07,3.94496070167708e-08,6.67880863391252,1.12502947046368e-39,2.64337916265144,0,0,4.03542951071069,10,0,-1665.33199866536,0,-1557.89122455789,53.7203870537198,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,26.8601935268599
8.06806806806807,8.93645356284238,0.0275974056509343,8.7371273353111e-07,3.87154658974063e-08,6.67880863391252,1.00685773506836e-39,2.642860514834,0,0,4.03594815779399,10,0,-1667.40073406743,0,-1559.82649315982,53.7871204537866,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,26.8935602268933
8.07807807807808,8.93596007234803,0.0275728287131862,8.58268139321277e-07,3.79951268218972e-08,6.67880863391252,9.01101777106062e-40,2.64234243123697,0,0,4.03646624067068,10,0,-1669.4694694695,0,-1561.76176176176,53.8538538538533,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,26.9269269269266
8.08808808808809,8.93546704762426,0.0275483478392115,8.43097349905182e-07,3.7288327582284e-08,6.67880863391252,8.06456791580615e-40,2.64182490976164,0,0,4.03698376143922,10,0,-1671.53820487157,0,-1563.69703036369,53.92058725392,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,26.96029362696
8.0980980980981,8.93497448688617,0.0275239627277886,8.28195496663451e-07,3.65948110058957e-08,6.67880863391252,7.21755134138665e-40,2.64130794831675,0,0,4.03750072219059,10,0,-1673.60694027364,0,-1565.63229896563,53.9873206539868,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,26.9936603269934
8.10810810810811,8.93448238835458,0.0274996730792692,8.13557797817687e-07,3.5914324857571e-08,6.67880863391252,6.45951899037182e-40,2.64079154481845,0,0,4.0380171250084,10,0,-1675.67567567571,0,-1567.56756756756,54.0540540540535,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,27.0270270270268
8.11811811811812,8.93399075025602,0.0274754785955702,7.99179556876426e-07,3.5246621743801e-08,6.67880863391252,5.78112013942537e-40,2.64027569719025,0,0,4.03853297196889,10,0,-1677.74441107778,0,-1569.5028361695,54.1207874541202,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,27.0603937270601
8.12812812812813,8.93349957082271,0.0274513789801649,7.85056161108995e-07,3.45914590187548e-08,6.67880863391252,5.173986919868e-40,2.63976040336298,0,0,4.039048265141,10,0,-1679.81314647985,0,-1571.43810477144,54.187520854187,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,27.0937604270935
8.13813813813814,8.93300884829252,0.0274273739380742,7.71183080046786e-07,3.39485986921497e-08,6.67880863391252,4.63063098299003e-40,2.63924566127475,0,0,4.03956300658637,10,0,-1681.88188188191,0,-1573.37337337337,54.2542542542537,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,27.1271271271269
8.14814814814815,8.93251858090892,0.027403463175859,7.57555864011428e-07,3.33178073389302e-08,6.67880863391252,4.14435103253655e-40,2.63873146887094,0,0,4.0400771983594,10,0,-1683.95061728398,0,-1575.30864197531,54.3209876543205,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,27.1604938271602
8.15815815815816,8.93202876692101,0.0273796464016112,7.44170142669387e-07,3.26988560107196e-08,6.67880863391252,3.70915008121971e-40,2.6382178241041,0,0,4.04059084250728,10,0,-1686.01935268605,0,-1577.24391057724,54.3877210543872,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,27.1938605271936
8.16816816816817,8.93153940458343,0.0273559233249453,7.31021623612515e-07,3.20915201490094e-08,6.67880863391252,3.31966140839502e-40,2.637704724934,0,0,4.04110394107005,10,0,-1688.08808808812,0,-1579.17917917918,54.4544544544539,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.0780776406404415,0.117359909646538,0.117359909646538,0.0780776406404415,0.0780776406404415,0,0,0,27.227227227227
